"Population by Five Years Age Group","Number"
"0-4",""
"Female","1399"
"Male","1421"
"10-14",""
"Female","2078"
"Male","2038"
"15-19",""
"Female","1960"
"Male","1835"
"20-24",""
"Female","1794"
"Male","1158"
"25-29",""
"Female","1507"
"Male","1245"
"30-34",""
"Female","1244"
"Male","792"
"35-39",""
"Female","1158"
"Male","720"
"40-44",""
"Female","1128"
"Male","735"
"45-49",""
"Female","850"
"Male","720"
"50-54",""
"Female","747"
"Male","707"
"55-59",""
"Female","555"
"Male","517"
"5-9",""
"Female","1780"
"Male","1768"
"60-64",""
"Female","496"
"Male","484"
"65-69",""
"Female","360"
"Male","384"
"70-74",""
"Female","263"
"Male","227"
"75+",""
"Female","394"
"Male","318"
