"Agricultural land use area","Hectare"
"Area under arable land","15113.00"
"Area under meadows and pasture","157.00"
"Area under permanent crops","889.00"
"Area under Temporary crops","14565.00"
"Area under temporary fallow","467.00"
"Area under temporary meadows","81.00"
"Other land","600.00"
"Ponds","1.00"
"Woodland and forest","506.00"
"Total","32379.00"
