"Population by Caste Ethinicity","Number"
"Badi",""
"Female","8"
"Male","7"
"","15"
"Bhote",""
"Female","7"
"Male","5"
"","12"
"Brahman - Hill",""
"Female","11694"
"Male","9504"
"","21198"
"Brahman - Tarai",""
"Female","14"
"Male","15"
"","29"
"Chamar/ Harijan/ Ram",""
"Female","3"
"Male","11"
"","14"
"Chepang /Praja",""
"Female","20"
"Male","36"
"","56"
"Chhetri",""
"Female","15084"
"Male","11330"
"","26414"
"Dalit Others",""
"Female","4"
"Male","8"
"","12"
"Damai/Dholi",""
"Female","3545"
"Male","3017"
"","6562"
"Dura",""
"Female","1804"
"Male","1342"
"","3146"
"Foreigner",""
"Female","0"
"Male","12"
"","12"
"Gaine",""
"Female","46"
"Male","48"
"","94"
"Ghale",""
"Female","118"
"Male","97"
"","215"
"Gharti/Bhujel",""
"Female","2072"
"Male","1738"
"","3810"
"Gurung",""
"Female","28791"
"Male","23308"
"","52099"
"Hyolmo",""
"Female","133"
"Male","115"
"","248"
"Kalwar",""
"Female","10"
"Male","20"
"","30"
"Kami",""
"Female","7897"
"Male","6522"
"","14419"
"Kathabaniyan",""
"Female","13"
"Male","14"
"","27"
"Khawas",""
"Female","124"
"Male","88"
"","212"
"Koiri/Kushwaha",""
"Female","4"
"Male","16"
"","20"
"Kumal",""
"Female","938"
"Male","752"
"","1690"
"Kurmi",""
"Female","10"
"Male","20"
"","30"
"Limbu",""
"Female","12"
"Male","9"
"","21"
"Magar",""
"Female","1911"
"Male","1689"
"","3600"
"Majhi",""
"Female","88"
"Male","56"
"","144"
"Musalman",""
"Female","485"
"Male","449"
"","934"
"Newar",""
"Female","3315"
"Male","2842"
"","6157"
"Others",""
"Female","195"
"Male","243"
"","438"
"Rai",""
"Female","176"
"Male","174"
"","350"
"Sanyasi/Dasnami",""
"Female","720"
"Male","592"
"","1312"
"Sarki",""
"Female","4937"
"Male","3950"
"","8887"
"Sunuwar",""
"Female","19"
"Male","13"
"","32"
"Tamang",""
"Female","6468"
"Male","5584"
"","12052"
"Teli",""
"Female","11"
"Male","21"
"","32"
"Terai Others",""
"Female","10"
"Male","17"
"","27"
"Thakali",""
"Female","23"
"Male","23"
"","46"
"Thakuri",""
"Female","874"
"Male","684"
"","1558"
"Tharu",""
"Female","63"
"Male","120"
"","183"
"Undefined Others",""
"Female","9"
"Male","4"
"","13"
