"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","4364"
"Cow Dung","59"
"Electricity Fuel","53"
"KeroseneFuel","149"
"LP Gas","7997"
"Not Sated about Fuel","150"
"OthersFuel","21"
"Wood/FireWood","29255"
"Total","42048"
