"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","1284"
"Mud Roof","0"
"Not Sated Roof","1235"
"Other Type of Roof","243"
"RCC Roof","14520"
"Thatch/Straw Roof","16620"
"Tile/Slate Roof","76619"
"Wood/Planks Roof","777"
"Total","111298"
