"Agricultural land use area","Hectare"
"Area under arable land","59649.00"
"Area under meadows and pasture","67.00"
"Area under permanent crops","3160.00"
"Area under Temporary crops","58592.00"
"Area under temporary fallow","702.00"
"Area under temporary meadows","355.00"
"Other land","2002.00"
"Ponds","21.00"
"Woodland and forest","78.00"
"Total","124626.00"
