"Number of households by type of outer wall","Number"
"BambooWall","5381"
"Cement Bonded Bricks/Stone Wall","2393"
"Mud Bonded Bricks/Stone Wall","612"
"Not stated","113"
"Others","18"
"Unbaked Bricks","20"
"Wood/Planks","78"
"Total","8615"
