"Population by Rural/Urban","Number"
"Metropolitan City Population",""
"Female","114057"
"Male","130029"
"Total","244086"
"Municipality Population",""
"Female","1629750"
"Male","1617100"
"Total","3246850"
"Number of Metropolitan City","1"
"Number of Municipality","73"
"Number of Rural Municipality","59"
"Number of Sub-Metropolitan City","3"
"Rural Municipality Population",""
"Female","746649"
"Male","761957"
"Total","1508606"
"Sub-Metropolitan City Population",""
"Female","195751"
"Male","208852"
"Total","404603"
