"Agricultural Land Use","Hectare"
"All Other Land","22821.90"
"Land Used for Permanent Crop","16572.10"
"Land used for Permanent Meadows and Pastures","2012.50"
"Land used for Temporary Crop","497931.60"
"Wood Land and Forest","1930.30"
"Total","541268.40"
