"Population by Age of First Marriage","Number"
"10-14 Years",""
"Female","284911"
"Male","69746"
"15-19 Years",""
"Female","947311"
"Male","592030"
"20-24 Years",""
"Female","196356"
"Male","466644"
"25-29 Years",""
"Female","20017"
"Male","100246"
"30-34 Years",""
"Female","3566"
"Male","17820"
"35-39 Years",""
"Female","1049"
"Male","3758"
"40-44 Years",""
"Female","566"
"Male","1396"
"45-49 Years",""
"Female","266"
"Male","444"
"50 Years Above",""
"Female","372"
"Male","463"
"Below 10 Year",""
"Female","20498"
"Male","5071"
