"Agricultural land use area","Hectare"
"Area under arable land","502141.95"
"Area under meadows and pasture","2012.47"
"Area under permanent crops","16572.11"
"Area under Temporary crops","497931.62"
"Area under temporary fallow","2948.54"
"Area under temporary meadows","1261.79"
"Other land","17287.56"
"Ponds","1324.08"
"Woodland and forest","1930.30"
