"Population by Caste Ethinicity","Number"
"Badi",""
"Female","10"
"Male","5"
"","15"
"Bhote",""
"Female","10"
"Male","6"
"","16"
"Brahman - Hill",""
"Female","1212"
"Male","1197"
"","2409"
"Chhetri",""
"Female","4583"
"Male","4364"
"","8947"
"Damai/Dholi",""
"Female","282"
"Male","285"
"","567"
"Gharti/Bhujel",""
"Female","61"
"Male","56"
"","117"
"Gurung",""
"Female","48"
"Male","34"
"","82"
"Halwai",""
"Female","5"
"Male","9"
"","14"
"Jirel",""
"Female","17"
"Male","15"
"","32"
"Kami",""
"Female","922"
"Male","905"
"","1827"
"Magar",""
"Female","24"
"Male","40"
"","64"
"Musalman",""
"Female","17"
"Male","43"
"","60"
"Newar",""
"Female","82"
"Male","88"
"","170"
"Others",""
"Female","27"
"Male","33"
"","60"
"Rai",""
"Female","17"
"Male","15"
"","32"
"Sanyasi/Dasnami",""
"Female","298"
"Male","269"
"","567"
"Sarki",""
"Female","1099"
"Male","1112"
"","2211"
"Tamang",""
"Female","312"
"Male","245"
"","557"
"Thakali",""
"Female","17"
"Male","13"
"","30"
"Thakuri",""
"Female","628"
"Male","616"
"","1244"
"Tharu",""
"Female","7"
"Male","19"
"","26"
