"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","9901"
"Mud Roof","0"
"Not Sated Roof","119"
"Other Type of Roof","86"
"RCC Roof","7978"
"Thatch/Straw Roof","936"
"Tile/Slate Roof","64"
"Wood/Planks Roof","34"
"Total","19118"
