"Population by Five Years Age Group","Number"
"0-4",""
"Female","372"
"Male","333"
"10-14",""
"Female","318"
"Male","279"
"15-19",""
"Female","264"
"Male","180"
"20-24",""
"Female","261"
"Male","228"
"25-29",""
"Female","198"
"Male","188"
"30-34",""
"Female","166"
"Male","177"
"35-39",""
"Female","136"
"Male","159"
"40-44",""
"Female","121"
"Male","146"
"45-49",""
"Female","96"
"Male","111"
"50-54",""
"Female","104"
"Male","108"
"55-59",""
"Female","80"
"Male","97"
"5-9",""
"Female","381"
"Male","363"
"60-64",""
"Female","128"
"Male","107"
"65-69",""
"Female","66"
"Male","60"
"70-74",""
"Female","44"
"Male","43"
"75+",""
"Female","63"
"Male","46"
