"Population by Five Years Age Group","Number"
"0-4",""
"Female","2157"
"Male","2217"
"10-14",""
"Female","3362"
"Male","3353"
"15-19",""
"Female","3204"
"Male","2803"
"20-24",""
"Female","2856"
"Male","2046"
"25-29",""
"Female","2254"
"Male","1916"
"30-34",""
"Female","1780"
"Male","1384"
"35-39",""
"Female","1638"
"Male","1397"
"40-44",""
"Female","1300"
"Male","1087"
"45-49",""
"Female","1038"
"Male","937"
"50-54",""
"Female","740"
"Male","678"
"55-59",""
"Female","688"
"Male","648"
"5-9",""
"Female","2662"
"Male","2773"
"60-64",""
"Female","732"
"Male","590"
"65-69",""
"Female","554"
"Male","470"
"70-74",""
"Female","336"
"Male","332"
"75+",""
"Female","283"
"Male","325"
