"Population by Single Year of Age","Number"
"0",""
"Female","87"
"Male","90"
"1",""
"Female","115"
"Male","111"
"10",""
"Female","107"
"Male","113"
"11",""
"Female","78"
"Male","72"
"12",""
"Female","85"
"Male","115"
"13",""
"Female","69"
"Male","102"
"14",""
"Female","99"
"Male","109"
"15",""
"Female","99"
"Male","86"
"16",""
"Female","72"
"Male","84"
"17",""
"Female","43"
"Male","52"
"18",""
"Female","79"
"Male","77"
"19",""
"Female","41"
"Male","45"
"2",""
"Female","139"
"Male","129"
"20",""
"Female","82"
"Male","62"
"21",""
"Female","49"
"Male","41"
"22",""
"Female","47"
"Male","58"
"23",""
"Female","53"
"Male","32"
"24",""
"Female","59"
"Male","54"
"25",""
"Female","74"
"Male","79"
"26",""
"Female","59"
"Male","58"
"27",""
"Female","47"
"Male","31"
"28",""
"Female","57"
"Male","66"
"29",""
"Female","22"
"Male","24"
"3",""
"Female","137"
"Male","136"
"30",""
"Female","88"
"Male","78"
"31",""
"Female","21"
"Male","26"
"32",""
"Female","36"
"Male","30"
"33",""
"Female","28"
"Male","30"
"34",""
"Female","20"
"Male","28"
"35",""
"Female","79"
"Male","70"
"36",""
"Female","34"
"Male","32"
"37",""
"Female","14"
"Male","26"
"38",""
"Female","36"
"Male","32"
"39",""
"Female","17"
"Male","24"
"4",""
"Female","155"
"Male","137"
"40",""
"Female","70"
"Male","68"
"41",""
"Female","7"
"Male","18"
"42",""
"Female","18"
"Male","27"
"43",""
"Female","24"
"Male","16"
"44",""
"Female","19"
"Male","19"
"45",""
"Female","67"
"Male","56"
"46",""
"Female","17"
"Male","30"
"47",""
"Female","16"
"Male","14"
"48",""
"Female","17"
"Male","27"
"49",""
"Female","15"
"Male","15"
"5",""
"Female","101"
"Male","115"
"50",""
"Female","65"
"Male","44"
"51",""
"Female","17"
"Male","16"
"52",""
"Female","10"
"Male","26"
"53",""
"Female","14"
"Male","20"
"54",""
"Female","15"
"Male","10"
"55",""
"Female","44"
"Male","41"
"56",""
"Female","11"
"Male","18"
"57",""
"Female","10"
"Male","15"
"58",""
"Female","11"
"Male","14"
"59",""
"Female","16"
"Male","14"
"6",""
"Female","140"
"Male","120"
"60",""
"Female","42"
"Male","44"
"61",""
"Female","27"
"Male","18"
"62",""
"Female","21"
"Male","12"
"63",""
"Female","5"
"Male","12"
"64",""
"Female","2"
"Male","5"
"65",""
"Female","48"
"Male","19"
"66",""
"Female","6"
"Male","9"
"67",""
"Female","7"
"Male","5"
"68",""
"Female","10"
"Male","11"
"69",""
"Female","3"
"Male","6"
"7",""
"Female","110"
"Male","90"
"70",""
"Female","18"
"Male","18"
"71",""
"Female","0"
"Male","5"
"72",""
"Female","3"
"Male","6"
"73",""
"Female","4"
"Male","0"
"74",""
"Female","2"
"Male","0"
"75",""
"Female","3"
"Male","8"
"76",""
"Female","0"
"Male","3"
"77",""
"Female","1"
"Male","2"
"78",""
"Female","1"
"Male","3"
"79",""
"Female","1"
"Male","1"
"8",""
"Female","101"
"Male","113"
"80",""
"Female","7"
"Male","7"
"82",""
"Female","2"
"Male","0"
"83",""
"Female","1"
"Male","0"
"85",""
"Female","1"
"Male","1"
"9",""
"Female","98"
"Male","85"
