"Population by Five Years Age Group","Number"
"0-4",""
"Female","537"
"Male","481"
"10-14",""
"Female","664"
"Male","662"
"15-19",""
"Female","603"
"Male","543"
"20-24",""
"Female","446"
"Male","342"
"25-29",""
"Female","335"
"Male","200"
"30-34",""
"Female","246"
"Male","178"
"35-39",""
"Female","262"
"Male","188"
"40-44",""
"Female","239"
"Male","219"
"45-49",""
"Female","189"
"Male","197"
"50-54",""
"Female","196"
"Male","179"
"55-59",""
"Female","144"
"Male","148"
"5-9",""
"Female","584"
"Male","563"
"60-64",""
"Female","146"
"Male","162"
"65-69",""
"Female","98"
"Male","94"
"70-74",""
"Female","71"
"Male","60"
"75+",""
"Female","87"
"Male","97"
