"Population by Caste/Ethinicity","Number"
"Baraee",""
"Female","6"
"Male","5"
"Bhote",""
"Female","9"
"Male","4"
"Brahman - Hill",""
"Female","28"
"Male","27"
"Chhetri",""
"Female","602"
"Male","559"
"Damai/Dholi",""
"Female","75"
"Male","43"
"Gharti/Bhujel",""
"Female","47"
"Male","39"
"Gurung",""
"Female","110"
"Male","101"
"Kami",""
"Female","184"
"Male","139"
"Limbu",""
"Female","2043"
"Male","1836"
"Magar",""
"Female","12"
"Male","12"
"Newar",""
"Female","10"
"Male","11"
"Others",""
"Female","10"
"Male","21"
"Rai",""
"Female","86"
"Male","81"
"Sanyasi/Dasnami",""
"Female","113"
"Male","98"
"Sarki",""
"Female","12"
"Male","3"
"Sherpa",""
"Female","672"
"Male","599"
"Tamang",""
"Female","103"
"Male","84"
"Topkegola",""
"Female","725"
"Male","651"
