"Population by Mother tongue","Number"
"Bhujel",""
"Female","297"
"Male","276"
"","573"
"Bote",""
"Female","110"
"Male","107"
"","217"
"Chepang",""
"Female","3"
"Male","8"
"","11"
"Gurung",""
"Female","1871"
"Male","1674"
"","3545"
"Magar",""
"Female","2432"
"Male","2033"
"","4465"
"Nepali",""
"Female","3824"
"Male","3290"
"","7114"
"Newar",""
"Female","34"
"Male","29"
"","63"
"Not Reported",""
"Female","9"
"Male","7"
"","16"
"Others",""
"Female","9"
"Male","10"
"","19"
"Sign Language",""
"Female","9"
"Male","7"
"","16"
"Tamang",""
"Female","49"
"Male","43"
"","92"
