"Population by Religion","Number"
"Bahai","1"
"Bon","0"
"Buddism","4680"
"Christianity","533"
"Hindu","11200"
"Islam","16"
"Jainism","0"
"Kirat","0"
"Prakriti","17"
"Sikhism","0"
"Undefined","31"
"Total","16478"
