"Industries Employment","Number"
"Accommodation,  food",""
"Female","567"
"Male","497"
"Administrative, support service",""
"Female","2"
"Male","89"
"Agriculture, forestry and  fishing",""
"Female","55"
"Male","125"
"Arts, entertainment, recreation",""
"Female","3"
"Male","6"
"Construction",""
"Female","1"
"Male","8"
"Education",""
"Female","1052"
"Male","1888"
"Electricity, gas and water",""
"Female","9"
"Male","106"
"Financial intermediation and insurance",""
"Female","116"
"Male","213"
"Health, social work",""
"Female","236"
"Male","256"
"Information and communication",""
"Female","26"
"Male","50"
"Manufacturing",""
"Female","216"
"Male","647"
"Other service activities",""
"Female","202"
"Male","322"
"Professional, scientific, techniqual activity",""
"Female","18"
"Male","46"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","12"
"Male","67"
"Water supply, wet management",""
"Female","3"
"Male","5"
"Wholesale, retail trade",""
"Female","1559"
"Male","1778"
