"Industries Types","Number"
"Accommodation and food","560"
"Administrative and support service activity","20"
"Agriculture, forestry and fishing","117"
"Art, entertainment and recreation","6"
"Construction","3"
"Education","339"
"Electricty gas and water","28"
"Financial intermediation and insurance","81"
"Health and social work","101"
"Information and communications","12"
"Manufacturing","400"
"Mining and quarrying","0"
"Other service activities","155"
"Professional,scientific and techniqual activity","35"
"Real state, renting and business activities","0"
"Transport and storage","11"
"Water supply, wet management","1"
"Wholesale and retail trade","2125"
"Total","3994"
