"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","8"
"Cow Dung","3"
"Electricity Fuel","2"
"KeroseneFuel","126"
"LP Gas","1376"
"Not Sated about Fuel","33"
"OthersFuel","4"
"Wood/FireWood","3854"
"Total","5406"
