"Population by Single Year of Age","Number"
"0",""
"Female","1125"
"Male","1219"
"1",""
"Female","946"
"Male","1121"
"10",""
"Female","2773"
"Male","3143"
"11",""
"Female","1561"
"Male","1675"
"12",""
"Female","2438"
"Male","2746"
"13",""
"Female","1635"
"Male","1721"
"14",""
"Female","1911"
"Male","2199"
"15",""
"Female","1833"
"Male","2249"
"16",""
"Female","1824"
"Male","2260"
"17",""
"Female","1351"
"Male","1631"
"18",""
"Female","2018"
"Male","2512"
"19",""
"Female","1035"
"Male","1241"
"2",""
"Female","1533"
"Male","1549"
"20",""
"Female","2474"
"Male","2672"
"21",""
"Female","918"
"Male","1077"
"22",""
"Female","1788"
"Male","1841"
"23",""
"Female","925"
"Male","983"
"24",""
"Female","1054"
"Male","1178"
"25",""
"Female","3030"
"Male","2537"
"26",""
"Female","979"
"Male","1001"
"27",""
"Female","927"
"Male","908"
"28",""
"Female","1613"
"Male","1428"
"29",""
"Female","370"
"Male","547"
"3",""
"Female","1669"
"Male","1733"
"30",""
"Female","3483"
"Male","2793"
"31",""
"Female","315"
"Male","419"
"32",""
"Female","1341"
"Male","1293"
"33",""
"Female","435"
"Male","424"
"34",""
"Female","492"
"Male","464"
"35",""
"Female","3486"
"Male","3211"
"36",""
"Female","710"
"Male","663"
"37",""
"Female","436"
"Male","467"
"38",""
"Female","1002"
"Male","945"
"39",""
"Female","257"
"Male","271"
"4",""
"Female","1531"
"Male","1678"
"40",""
"Female","2956"
"Male","3206"
"41",""
"Female","173"
"Male","276"
"42",""
"Female","700"
"Male","847"
"43",""
"Female","247"
"Male","260"
"44",""
"Female","222"
"Male","289"
"45",""
"Female","2421"
"Male","2615"
"46",""
"Female","315"
"Male","368"
"47",""
"Female","219"
"Male","343"
"48",""
"Female","539"
"Male","600"
"49",""
"Female","152"
"Male","209"
"5",""
"Female","2001"
"Male","2256"
"50",""
"Female","1918"
"Male","2234"
"51",""
"Female","130"
"Male","215"
"52",""
"Female","331"
"Male","506"
"53",""
"Female","132"
"Male","195"
"54",""
"Female","133"
"Male","209"
"55",""
"Female","1402"
"Male","1597"
"56",""
"Female","157"
"Male","260"
"57",""
"Female","116"
"Male","199"
"58",""
"Female","316"
"Male","343"
"59",""
"Female","73"
"Male","149"
"6",""
"Female","1792"
"Male","1992"
"60",""
"Female","1498"
"Male","1717"
"61",""
"Female","91"
"Male","142"
"62",""
"Female","270"
"Male","263"
"63",""
"Female","99"
"Male","96"
"64",""
"Female","80"
"Male","101"
"65",""
"Female","934"
"Male","1067"
"66",""
"Female","67"
"Male","88"
"67",""
"Female","46"
"Male","78"
"68",""
"Female","116"
"Male","200"
"69",""
"Female","19"
"Male","43"
"7",""
"Female","1768"
"Male","2064"
"70",""
"Female","596"
"Male","818"
"71",""
"Female","22"
"Male","44"
"72",""
"Female","72"
"Male","114"
"73",""
"Female","21"
"Male","26"
"74",""
"Female","9"
"Male","29"
"75",""
"Female","322"
"Male","330"
"76",""
"Female","13"
"Male","33"
"77",""
"Female","12"
"Male","35"
"78",""
"Female","26"
"Male","41"
"79",""
"Female","19"
"Male","20"
"8",""
"Female","2387"
"Male","2674"
"80",""
"Female","180"
"Male","166"
"81",""
"Female","3"
"Male","12"
"82",""
"Female","15"
"Male","15"
"83",""
"Female","6"
"Male","4"
"84",""
"Female","10"
"Male","9"
"85",""
"Female","205"
"Male","187"
"9",""
"Female","1354"
"Male","1536"
