"Population by Five Years Age Group","Number"
"0-4",""
"Female","6804"
"Male","7300"
"10-14",""
"Female","10318"
"Male","11484"
"15-19",""
"Female","8061"
"Male","9893"
"20-24",""
"Female","7159"
"Male","7751"
"25-29",""
"Female","6919"
"Male","6421"
"30-34",""
"Female","6066"
"Male","5393"
"35-39",""
"Female","5891"
"Male","5557"
"40-44",""
"Female","4298"
"Male","4878"
"45-49",""
"Female","3646"
"Male","4135"
"50-54",""
"Female","2644"
"Male","3359"
"55-59",""
"Female","2064"
"Male","2548"
"5-9",""
"Female","9302"
"Male","10522"
"60-64",""
"Female","2038"
"Male","2319"
"65-69",""
"Female","1182"
"Male","1476"
"70-74",""
"Female","720"
"Male","1031"
"75+",""
"Female","811"
"Male","852"
