"Agricultural land use area","Hectare"
"Area under arable land","12512.97"
"Area under meadows and pasture","474.05"
"Area under permanent crops","1090.03"
"Area under Temporary crops","10994.43"
"Area under temporary fallow","1008.49"
"Area under temporary meadows","510.05"
"Other land","486.66"
"Ponds","2.69"
"Woodland and forest","134.26"
