"Population by Five Years Age Group","Number"
"0-4",""
"Female","10542"
"Male","11101"
"10-14",""
"Female","9420"
"Male","9666"
"15-19",""
"Female","6926"
"Male","6788"
"20-24",""
"Female","5877"
"Male","5288"
"25-29",""
"Female","4534"
"Male","4470"
"30-34",""
"Female","3690"
"Male","3526"
"35-39",""
"Female","3478"
"Male","3463"
"40-44",""
"Female","2798"
"Male","2838"
"45-49",""
"Female","2480"
"Male","2800"
"50-54",""
"Female","1871"
"Male","2206"
"55-59",""
"Female","1602"
"Male","1941"
"5-9",""
"Female","10483"
"Male","10703"
"60-64",""
"Female","2314"
"Male","1862"
"65-69",""
"Female","1070"
"Male","1044"
"70-74",""
"Female","560"
"Male","615"
"75+",""
"Female","470"
"Male","522"
