"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","2082"
"Male","1911"
"Byasi/Sauka",""
"Female","96"
"Male","69"
"Chhetri",""
"Female","6752"
"Male","6196"
"Dalit Others",""
"Female","963"
"Male","855"
"Damai/Dholi",""
"Female","148"
"Male","129"
"Foreigner",""
"Female","32"
"Male","34"
"Kami",""
"Female","117"
"Male","116"
"Lohar",""
"Female","145"
"Male","152"
"Magar",""
"Female","31"
"Male","34"
"Musalman",""
"Female","3"
"Male","13"
"Newar",""
"Female","8"
"Male","9"
"Others",""
"Female","27"
"Male","39"
"Sanyasi/Dasnami",""
"Female","5"
"Male","12"
"Tamang",""
"Female","16"
"Male","13"
"Thakuri",""
"Female","631"
"Male","561"
"Thami",""
"Female","6"
"Male","8"
"Tharu",""
"Female","7"
"Male","11"
