"Population by Five Years Age Group","Number"
"0-4",""
"Female","1045"
"Male","1138"
"10-14",""
"Female","1410"
"Male","1531"
"15-19",""
"Female","1226"
"Male","1196"
"20-24",""
"Female","1182"
"Male","772"
"25-29",""
"Female","919"
"Male","770"
"30-34",""
"Female","713"
"Male","660"
"35-39",""
"Female","648"
"Male","657"
"40-44",""
"Female","543"
"Male","549"
"45-49",""
"Female","472"
"Male","514"
"50-54",""
"Female","424"
"Male","435"
"55-59",""
"Female","322"
"Male","357"
"5-9",""
"Female","1345"
"Male","1421"
"60-64",""
"Female","325"
"Male","266"
"65-69",""
"Female","226"
"Male","211"
"70-74",""
"Female","154"
"Male","146"
"75+",""
"Female","153"
"Male","151"
