"Population by Five Years Age Group","Number"
"0-4",""
"Female","399"
"Male","439"
"10-14",""
"Female","499"
"Male","458"
"15-19",""
"Female","373"
"Male","356"
"20-24",""
"Female","291"
"Male","272"
"25-29",""
"Female","242"
"Male","233"
"30-34",""
"Female","222"
"Male","200"
"35-39",""
"Female","194"
"Male","208"
"40-44",""
"Female","132"
"Male","144"
"45-49",""
"Female","126"
"Male","127"
"50-54",""
"Female","103"
"Male","90"
"55-59",""
"Female","92"
"Male","103"
"5-9",""
"Female","478"
"Male","485"
"60-64",""
"Female","83"
"Male","82"
"65-69",""
"Female","54"
"Male","63"
"70-74",""
"Female","58"
"Male","51"
"75+",""
"Female","54"
"Male","68"
