"Population by Five Years Age Group","Number"
"0-4",""
"Female","2739"
"Male","2925"
"10-14",""
"Female","3018"
"Male","3332"
"15-19",""
"Female","2268"
"Male","2349"
"20-24",""
"Female","1981"
"Male","1743"
"25-29",""
"Female","1787"
"Male","1563"
"30-34",""
"Female","1488"
"Male","1222"
"35-39",""
"Female","1250"
"Male","1219"
"40-44",""
"Female","1063"
"Male","945"
"45-49",""
"Female","803"
"Male","927"
"50-54",""
"Female","703"
"Male","733"
"55-59",""
"Female","611"
"Male","647"
"5-9",""
"Female","3340"
"Male","3438"
"60-64",""
"Female","581"
"Male","666"
"65-69",""
"Female","405"
"Male","500"
"70-74",""
"Female","249"
"Male","369"
"75+",""
"Female","187"
"Male","250"
