"Number of households by type of outer wall","Number"
"BambooWall","7046"
"Cement Bonded Bricks/Stone Wall","1163"
"Mud Bonded Bricks/Stone Wall","159"
"Not Stated about Wall","35"
"Other Type Wall","148"
"Unbaked Bricks","11"
"Wood/Planks","180"
"Total","8742"
