"Population by Five Years Age Group","Number"
"0-4",""
"Female","2071"
"Male","2028"
"10-14",""
"Female","2162"
"Male","2356"
"15-19",""
"Female","1421"
"Male","1726"
"20-24",""
"Female","1232"
"Male","1198"
"25-29",""
"Female","1243"
"Male","1212"
"30-34",""
"Female","1149"
"Male","1001"
"35-39",""
"Female","919"
"Male","1076"
"40-44",""
"Female","825"
"Male","806"
"45-49",""
"Female","670"
"Male","817"
"50-54",""
"Female","489"
"Male","585"
"55-59",""
"Female","462"
"Male","482"
"5-9",""
"Female","2537"
"Male","2514"
"60-64",""
"Female","381"
"Male","430"
"65-69",""
"Female","321"
"Male","324"
"70-74",""
"Female","251"
"Male","259"
"75+",""
"Female","201"
"Male","197"
