"Industries Employment","Number"
"Accommodation,  food",""
"Female","620"
"Male","440"
"Administrative, support service",""
"Female","8"
"Male","32"
"Agriculture, forestry and  fishing",""
"Female","1604"
"Male","2151"
"Arts, entertainment, recreation",""
"Female","10"
"Male","24"
"Construction",""
"Female","14"
"Male","29"
"Education",""
"Female","1278"
"Male","1668"
"Electricity, gas and water",""
"Female","63"
"Male","212"
"Financial intermediation and insurance",""
"Female","1203"
"Male","602"
"Health, social work",""
"Female","2441"
"Male","406"
"Information and communication",""
"Female","27"
"Male","55"
"Manufacturing",""
"Female","238"
"Male","556"
"Other service activities",""
"Female","2037"
"Male","1761"
"Professional, scientific, techniqual activity",""
"Female","17"
"Male","78"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","24"
"Male","119"
"Water supply, wet management",""
"Female","60"
"Male","53"
"Wholesale, retail trade",""
"Female","2097"
"Male","2104"
