"Industries Types","Number"
"Accommodation and food","483"
"Administrative and support service activity","21"
"Agriculture, forestry and fishing","168"
"Art, entertainment and recreation","11"
"Construction","8"
"Education","361"
"Electricty gas and water","22"
"Financial intermediation and insurance","119"
"Health and social work","241"
"Information and communications","12"
"Manufacturing","367"
"Mining and quarrying","0"
"Other service activities","285"
"Professional,scientific and techniqual activity","50"
"Real state, renting and business activities","0"
"Transport and storage","37"
"Water supply, wet management","10"
"Wholesale and retail trade","2151"
"Total","4346"
