"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","1"
"Cow Dung","1458"
"Electricity","0"
"Kerosene","81"
"LP Gas","1"
"Not stated","114"
"Others","10"
"Wood/Firewood","4709"
"Total","6374"
