"Population by Religion","Number"
"Bahai","6"
"Bon","3717"
"Buddism","21514"
"Christianity","582"
"Hindu","260832"
"Islam","1978"
"Jainism","0"
"Kirat","21"
"Prakriti","38"
"Sikhism","0"
"Undefined","460"
"Total","289148"
