"Agricultural land use area","Hectare"
"Area under arable land","18728.00"
"Area under meadows and pasture","254.00"
"Area under permanent crops","7003.00"
"Area under Temporary crops","17597.00"
"Area under temporary fallow","939.00"
"Area under temporary meadows","192.00"
"Other land","1487.00"
"Ponds","9.00"
"Woodland and forest","1971.00"
"Total","48180.00"
