"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","43682"
"Mud Roof","2"
"Not Sated Roof","321"
"Other Type of Roof","53"
"RCC Roof","9316"
"Thatch/Straw Roof","12785"
"Tile/Slate Roof","2660"
"Wood/Planks Roof","37"
"Total","68856"
