"Number of households by type of outer wall","Number"
"BambooWall","673"
"Cement Bonded Bricks/Stone Wall","12402"
"Mud Bonded Bricks/Stone Wall","55146"
"Not Stated about Wall","305"
"Other Type Wall","79"
"Unbaked Bricks","82"
"Wood/Planks","169"
"Total","68856"
