"Population by Caste Ethinicity","Number"
"Badi",""
"Female","59"
"Male","34"
"","93"
"Brahman - Hill",""
"Female","2000"
"Male","1782"
"","3782"
"Brahman - Tarai",""
"Female","15"
"Male","22"
"","37"
"Chhetri",""
"Female","3003"
"Male","2742"
"","5745"
"Dalit Others",""
"Female","188"
"Male","147"
"","335"
"Damai/Dholi",""
"Female","592"
"Male","492"
"","1084"
"Gurung",""
"Female","19"
"Male","15"
"","34"
"Kami",""
"Female","2443"
"Male","2087"
"","4530"
"Kewat",""
"Female","5"
"Male","6"
"","11"
"Lohar",""
"Female","133"
"Male","114"
"","247"
"Magar",""
"Female","350"
"Male","326"
"","676"
"Musalman",""
"Female","55"
"Male","44"
"","99"
"Newar",""
"Female","9"
"Male","8"
"","17"
"Others",""
"Female","34"
"Male","33"
"","67"
"Sanyasi/Dasnami",""
"Female","73"
"Male","67"
"","140"
"Sarki",""
"Female","207"
"Male","162"
"","369"
"Tatma/Tatwa",""
"Female","24"
"Male","16"
"","40"
"Terai Others",""
"Female","12"
"Male","6"
"","18"
"Thakuri",""
"Female","887"
"Male","791"
"","1678"
"Tharu",""
"Female","6915"
"Male","6748"
"","13663"
"Yadav",""
"Female","7"
"Male","11"
"","18"
