"Population by Caste Ethinicity","Number"
"Badi",""
"Female","42"
"Male","50"
"","92"
"Bantaba",""
"Female","3"
"Male","13"
"","16"
"Brahman - Hill",""
"Female","5964"
"Male","5999"
"","11963"
"Brahman - Tarai",""
"Female","29"
"Male","24"
"","53"
"Chamar/ Harijan/ Ram",""
"Female","7"
"Male","19"
"","26"
"Chhetri",""
"Female","13099"
"Male","12609"
"","25708"
"Dalit Others",""
"Female","183"
"Male","184"
"","367"
"Damai/Dholi",""
"Female","314"
"Male","286"
"","600"
"Danuwar",""
"Female","10"
"Male","26"
"","36"
"Dhanuk",""
"Female","14"
"Male","14"
"","28"
"Dhimal",""
"Female","18"
"Male","16"
"","34"
"Ghale",""
"Female","37"
"Male","36"
"","73"
"Gharti/Bhujel",""
"Female","248"
"Male","236"
"","484"
"Gurung",""
"Female","138"
"Male","117"
"","255"
"Hajam/Thakur",""
"Female","31"
"Male","50"
"","81"
"Halwai",""
"Female","9"
"Male","24"
"","33"
"Kalwar",""
"Female","9"
"Male","23"
"","32"
"Kami",""
"Female","328"
"Male","297"
"","625"
"Kathabaniyan",""
"Female","12"
"Male","20"
"","32"
"Kayastha",""
"Female","9"
"Male","12"
"","21"
"Koiri/Kushwaha",""
"Female","17"
"Male","78"
"","95"
"Kumal",""
"Female","14"
"Male","13"
"","27"
"Kurmi",""
"Female","3"
"Male","13"
"","16"
"Limbu",""
"Female","202"
"Male","161"
"","363"
"Magar",""
"Female","1171"
"Male","1091"
"","2262"
"Majhi",""
"Female","52"
"Male","51"
"","103"
"Marwadi",""
"Female","7"
"Male","10"
"","17"
"Musalman",""
"Female","74"
"Male","143"
"","217"
"Newar",""
"Female","11539"
"Male","11486"
"","23025"
"Others",""
"Female","56"
"Male","88"
"","144"
"Pahari",""
"Female","15"
"Male","13"
"","28"
"Rai",""
"Female","442"
"Male","364"
"","806"
"Rajbansi",""
"Female","5"
"Male","8"
"","13"
"Sanyasi/Dasnami",""
"Female","199"
"Male","176"
"","375"
"Sarki",""
"Female","486"
"Male","407"
"","893"
"Sherpa",""
"Female","45"
"Male","45"
"","90"
"Sudhi",""
"Female","22"
"Male","23"
"","45"
"Sunuwar",""
"Female","21"
"Male","23"
"","44"
"Tajpuriya",""
"Female","5"
"Male","6"
"","11"
"Tamang",""
"Female","4309"
"Male","4091"
"","8400"
"Tatma/Tatwa",""
"Female","3"
"Male","9"
"","12"
"Teli",""
"Female","31"
"Male","57"
"","88"
"Terai Others",""
"Female","43"
"Male","67"
"","110"
"Thakuri",""
"Female","117"
"Male","102"
"","219"
"Thami",""
"Female","6"
"Male","10"
"","16"
"Tharu",""
"Female","144"
"Male","219"
"","363"
"Yadav",""
"Female","59"
"Male","90"
"","149"
