"Population by Religion","Number"
"Bahai","1"
"Bon","0"
"Buddism","6357"
"Christianity","1837"
"Hindu","70106"
"Islam","219"
"Jainism","0"
"Kirat","272"
"Prakriti","12"
"Sikhism","0"
"Undefined","41"
"Total","78845"
