"Number of households by type of outer wall","Number"
"BambooWall","92"
"Cement Bonded Bricks/Stone Wall","11592"
"Mud Bonded Bricks/Stone Wall","6185"
"Not Stated about Wall","206"
"Other Type Wall","19"
"Unbaked Bricks","277"
"Wood/Planks","75"
"Total","18446"
