"Population by Caste Ethinicity","Number"
"Badi",""
"Female","19"
"Male","14"
"","33"
"Brahman - Hill",""
"Female","2182"
"Male","2104"
"","4286"
"Chhetri",""
"Female","4888"
"Male","4695"
"","9583"
"Dalit Others",""
"Female","38"
"Male","48"
"","86"
"Damai/Dholi",""
"Female","1035"
"Male","1034"
"","2069"
"Gurung",""
"Female","5"
"Male","10"
"","15"
"Kami",""
"Female","3622"
"Male","3627"
"","7249"
"Magar",""
"Female","604"
"Male","640"
"","1244"
"Majhi",""
"Female","6"
"Male","5"
"","11"
"Musalman",""
"Female","31"
"Male","29"
"","60"
"Others",""
"Female","19"
"Male","10"
"","29"
"Sanyasi/Dasnami",""
"Female","214"
"Male","204"
"","418"
"Sarki",""
"Female","49"
"Male","57"
"","106"
"Teli",""
"Female","12"
"Male","10"
"","22"
"Thakuri",""
"Female","2012"
"Male","1990"
"","4002"
"Tharu",""
"Female","7"
"Male","7"
"","14"
