"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","41"
"Male","25"
"Brahman - Hill",""
"Female","2650"
"Male","2331"
"Chhetri",""
"Female","4671"
"Male","4563"
"Dalit Others",""
"Female","802"
"Male","715"
"Damai/Dholi",""
"Female","269"
"Male","202"
"Dhobi",""
"Female","10"
"Male","10"
"Kami",""
"Female","669"
"Male","581"
"Kayastha",""
"Female","10"
"Male","10"
"Magar",""
"Female","29"
"Male","48"
"Newar",""
"Female","27"
"Male","38"
"Others",""
"Female","20"
"Male","29"
"Sanyasi/Dasnami",""
"Female","65"
"Male","63"
"Sarki",""
"Female","464"
"Male","408"
"Tamang",""
"Female","42"
"Male","44"
"Thakuri",""
"Female","1762"
"Male","1581"
"Tharu",""
"Female","5"
"Male","7"
