"Population by Five Years Age Group","Number"
"0-4",""
"Female","1559"
"Male","1588"
"10-14",""
"Female","1563"
"Male","1461"
"15-19",""
"Female","1252"
"Male","870"
"20-24",""
"Female","919"
"Male","466"
"25-29",""
"Female","867"
"Male","395"
"30-34",""
"Female","707"
"Male","366"
"35-39",""
"Female","686"
"Male","348"
"40-44",""
"Female","519"
"Male","319"
"45-49",""
"Female","438"
"Male","309"
"50-54",""
"Female","412"
"Male","279"
"55-59",""
"Female","355"
"Male","260"
"5-9",""
"Female","1550"
"Male","1604"
"60-64",""
"Female","453"
"Male","296"
"65-69",""
"Female","313"
"Male","192"
"70-74",""
"Female","167"
"Male","133"
"75+",""
"Female","150"
"Male","107"
