"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","166"
"Male","129"
"Bangali",""
"Female","12"
"Male","6"
"Brahman - Hill",""
"Female","1962"
"Male","1536"
"Chhetri",""
"Female","5490"
"Male","4161"
"Dalit Others",""
"Female","731"
"Male","612"
"Damai/Dholi",""
"Female","360"
"Male","249"
"Kami",""
"Female","2079"
"Male","1516"
"Lohar",""
"Female","187"
"Male","123"
"Magar",""
"Female","164"
"Male","142"
"Newar",""
"Female","9"
"Male","7"
"Others",""
"Female","8"
"Male","8"
"Sanyasi/Dasnami",""
"Female","157"
"Male","106"
"Sarki",""
"Female","301"
"Male","185"
"Terai Others",""
"Female","33"
"Male","29"
"Thakuri",""
"Female","251"
"Male","184"
