"Industries Types","Number"
"Accommodation and food","7468"
"Administrative and support service activity","180"
"Agriculture, forestry and fishing","1921"
"Art, entertainment and recreation","88"
"Construction","147"
"Education","4368"
"Electricty gas and water","195"
"Financial intermediation and insurance","951"
"Health and social work","1833"
"Information and communications","155"
"Manufacturing","7743"
"Mining and quarrying","116"
"Other service activities","3596"
"Professional,scientific and techniqual activity","491"
"Real state, renting and business activities","4"
"Transport and storage","228"
"Water supply, wet management","86"
"Wholesale and retail trade","33398"
"Total","62968"
