"Population by Five Years Age Group","Number"
"0-4",""
"Female","704"
"Male","692"
"10-14",""
"Female","1284"
"Male","1251"
"15-19",""
"Female","952"
"Male","855"
"20-24",""
"Female","617"
"Male","612"
"25-29",""
"Female","569"
"Male","537"
"30-34",""
"Female","551"
"Male","472"
"35-39",""
"Female","553"
"Male","550"
"40-44",""
"Female","550"
"Male","532"
"45-49",""
"Female","479"
"Male","490"
"50-54",""
"Female","442"
"Male","448"
"55-59",""
"Female","316"
"Male","394"
"5-9",""
"Female","1072"
"Male","910"
"60-64",""
"Female","349"
"Male","338"
"65-69",""
"Female","260"
"Male","249"
"70-74",""
"Female","222"
"Male","198"
"75+",""
"Female","258"
"Male","258"
