"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","753"
"Male","647"
"Chhetri",""
"Female","941"
"Male","801"
"Damai/Dholi",""
"Female","76"
"Male","72"
"Foreigner",""
"Female","127"
"Male","94"
"Ghale",""
"Female","9"
"Male","13"
"Gharti/Bhujel",""
"Female","77"
"Male","62"
"Gurung",""
"Female","35"
"Male","21"
"Hyolmo",""
"Female","1650"
"Male","1620"
"Kami",""
"Female","335"
"Male","280"
"Magar",""
"Female","90"
"Male","89"
"Newar",""
"Female","121"
"Male","132"
"Others",""
"Female","36"
"Male","48"
"Sanyasi/Dasnami",""
"Female","501"
"Male","435"
"Sarki",""
"Female","43"
"Male","49"
"Sherpa",""
"Female","80"
"Male","115"
"Sonar",""
"Female","10"
"Male","11"
"Tamang",""
"Female","4223"
"Male","4075"
