"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","1728"
"Male","1343"
"Chhetri",""
"Female","2236"
"Male","1575"
"Damai/Dholi",""
"Female","327"
"Male","249"
"Gharti/Bhujel",""
"Female","165"
"Male","132"
"Gurung",""
"Female","1119"
"Male","852"
"Kami",""
"Female","921"
"Male","646"
"Magar",""
"Female","34"
"Male","25"
"Musalman",""
"Female","7"
"Male","4"
"Newar",""
"Female","54"
"Male","50"
"Others",""
"Female","19"
"Male","13"
"Sanyasi/Dasnami",""
"Female","10"
"Male","7"
"Sarki",""
"Female","445"
"Male","350"
"Terai Others",""
"Female","10"
"Male","3"
"Thakuri",""
"Female","7"
"Male","10"
