"Population by Mother tongue","Number"
"Chamling",""
"Female","48"
"Male","38"
"","86"
"Limbu",""
"Female","3773"
"Male","3268"
"","7041"
"Magar",""
"Female","190"
"Male","155"
"","345"
"Nepali",""
"Female","4316"
"Male","3642"
"","7958"
"Newar",""
"Female","20"
"Male","18"
"","38"
"Not Reported",""
"Female","18"
"Male","15"
"","33"
"Others",""
"Female","20"
"Male","12"
"","32"
"Rai",""
"Female","67"
"Male","57"
"","124"
"Tamang",""
"Female","258"
"Male","183"
"","441"
"Thulung",""
"Female","7"
"Male","13"
"","20"
