"Number of households by type of outer wall","Number"
"BambooWall","183"
"Cement Bonded Bricks/Stone Wall","22638"
"Mud Bonded Bricks/Stone Wall","2029"
"Not stated","406"
"Others","110"
"Unbaked Bricks","73"
"Wood/Planks","122"
"Total","25561"
