"Population by Caste Ethinicity","Number"
"Badi",""
"Female","50"
"Male","45"
"","95"
"Brahman - Hill",""
"Female","362"
"Male","392"
"","754"
"Chhetri",""
"Female","4820"
"Male","4558"
"","9378"
"Damai/Dholi",""
"Female","409"
"Male","425"
"","834"
"Gurung",""
"Female","34"
"Male","32"
"","66"
"Kami",""
"Female","1254"
"Male","1203"
"","2457"
"Kumal",""
"Female","63"
"Male","65"
"","128"
"Magar",""
"Female","4035"
"Male","3916"
"","7951"
"Others",""
"Female","14"
"Male","13"
"","27"
"Raute",""
"Female","35"
"Male","31"
"","66"
"Sanyasi/Dasnami",""
"Female","468"
"Male","439"
"","907"
"Sarki",""
"Female","126"
"Male","140"
"","266"
"Terai Others",""
"Female","6"
"Male","7"
"","13"
"Thakuri",""
"Female","25"
"Male","27"
"","52"
"Tharu",""
"Female","4"
"Male","7"
"","11"
