"Number of households by type of outer wall","Number"
"BambooWall","1475"
"Cement Bonded Bricks/Stone Wall","2412"
"Mud Bonded Bricks/Stone Wall","3121"
"Not Stated about Wall","67"
"Other Type Wall","717"
"Unbaked Bricks","1214"
"Wood/Planks","426"
"Total","9432"
