"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","759"
"Cow Dung","398"
"Electricity Fuel","6"
"KeroseneFuel","21"
"LP Gas","513"
"Not Sated about Fuel","24"
"OthersFuel","15"
"Wood/FireWood","9330"
"Total","11066"
