"Number of households by type of outer wall","Number"
"BambooWall","164"
"Cement Bonded Bricks/Stone Wall","1857"
"Mud Bonded Bricks/Stone Wall","2657"
"Not Stated about Wall","72"
"Other Type Wall","2914"
"Unbaked Bricks","3155"
"Wood/Planks","247"
"Total","11066"
