"Industries Employment","Number"
"Accommodation,  food",""
"Female","1260"
"Male","3139"
"Administrative, support service",""
"Female","35"
"Male","536"
"Agriculture, forestry and  fishing",""
"Female","48"
"Male","184"
"Arts, entertainment, recreation",""
"Female","0"
"Male","184"
"Construction",""
"Female","34"
"Male","326"
"Education",""
"Female","2982"
"Male","6144"
"Electricity, gas and water",""
"Female","0"
"Male","4"
"Financial intermediation and insurance",""
"Female","1253"
"Male","3336"
"Health, social work",""
"Female","951"
"Male","1690"
"Information and communication",""
"Female","61"
"Male","314"
"Manufacturing",""
"Female","1084"
"Male","8663"
"Other service activities",""
"Female","263"
"Male","1942"
"Professional, scientific, techniqual activity",""
"Female","38"
"Male","461"
"Real estate, renting and business activity",""
"Female","0"
"Male","28"
"Transportation,  storage",""
"Female","26"
"Male","60"
"Water supply, wet management",""
"Female","29"
"Male","69"
"Wholesale, retail trade",""
"Female","5137"
"Male","16168"
