"Industries Types","Number"
"Accommodation and food","1749"
"Administrative and support service activity","175"
"Agriculture, forestry and fishing","58"
"Art, entertainment and recreation","22"
"Construction","21"
"Education","655"
"Electricty gas and water","1"
"Financial intermediation and insurance","190"
"Health and social work","290"
"Information and communications","61"
"Manufacturing","2057"
"Mining and quarrying","5"
"Other service activities","1204"
"Professional,scientific and techniqual activity","339"
"Real state, renting and business activities","27"
"Transport and storage","23"
"Water supply, wet management","18"
"Wholesale and retail trade","11070"
"Total","17965"
