"Agricultural land use area","Hectare"
"Area under arable land","60524.90"
"Area under meadows and pasture","29.75"
"Area under permanent crops","1467.18"
"Area under Temporary crops","59907.66"
"Area under temporary fallow","344.09"
"Area under temporary meadows","273.15"
"Other land","2247.77"
"Ponds","108.24"
"Woodland and forest","200.16"
