"Population by Five Years Age Group","Number"
"0-4",""
"Female","2872"
"Male","3312"
"10-14",""
"Female","4095"
"Male","4509"
"15-19",""
"Female","4475"
"Male","4951"
"20-24",""
"Female","5637"
"Male","5379"
"25-29",""
"Female","5017"
"Male","4923"
"30-34",""
"Female","3895"
"Male","4053"
"35-39",""
"Female","3255"
"Male","3475"
"40-44",""
"Female","2548"
"Male","2841"
"45-49",""
"Female","1985"
"Male","2156"
"50-54",""
"Female","1499"
"Male","1642"
"55-59",""
"Female","993"
"Male","1189"
"5-9",""
"Female","3456"
"Male","3737"
"60-64",""
"Female","966"
"Male","863"
"65-69",""
"Female","758"
"Male","645"
"70-74",""
"Female","504"
"Male","499"
"75+",""
"Female","763"
"Male","661"
