"Population by Five Years Age Group","Number"
"0-4",""
"Female","1242"
"Male","1306"
"10-14",""
"Female","1611"
"Male","1509"
"15-19",""
"Female","1175"
"Male","1128"
"20-24",""
"Female","921"
"Male","813"
"25-29",""
"Female","795"
"Male","652"
"30-34",""
"Female","537"
"Male","499"
"35-39",""
"Female","510"
"Male","443"
"40-44",""
"Female","431"
"Male","419"
"45-49",""
"Female","355"
"Male","325"
"50-54",""
"Female","275"
"Male","326"
"55-59",""
"Female","238"
"Male","280"
"5-9",""
"Female","1471"
"Male","1416"
"60-64",""
"Female","271"
"Male","244"
"65-69",""
"Female","181"
"Male","187"
"70-74",""
"Female","113"
"Male","88"
"75+",""
"Female","94"
"Male","111"
