"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","1"
"Cow Dung","0"
"Electricity","0"
"Kerosene","1"
"LP Gas","0"
"Not stated","4"
"Others","0"
"Wood/Firewood","1678"
"Total","1684"
